ISO_Code,TTR,Avg_Length,Length_Var,N_Tokens,Segmentation_Degraded,Budget_Shortfall
bul,0.451400,4.590000,6.789100,5000,0,0
ces,0.335600,5.687800,8.556731,5000,0,0
cmn,0.548200,1.847400,0.682513,5000,0,0
dan,0.432200,4.810400,9.653252,5000,0,0
deu,0.334600,5.405800,9.111126,5000,0,0
eng,0.094800,4.616400,6.170051,5000,0,0
est,0.541000,6.096400,10.020307,5000,0,0
eus,0.563400,6.338600,8.041150,5000,0,0
fas,0.393800,4.041800,3.951253,5000,0,0
fin,0.718200,7.155200,12.697913,5000,0,0
fra,0.184000,4.622800,7.111320,5000,0,0
heb,0.559600,4.517200,3.234504,5000,0,0
hin,0.315200,2.258400,1.166029,5000,0,0
hrv,0.440800,5.614400,10.272513,5000,0,0
hun,0.547400,6.153000,13.808791,5000,0,0
ind,0.351000,5.778800,6.855871,5000,0,0
ita,0.393200,5.121600,8.755213,5000,0,0
kor,0.770800,3.061800,1.905581,5000,0,0
lav,0.536800,5.685800,7.779878,5000,0,0
lit,0.540200,6.512800,9.925836,5000,0,0
nld,0.396600,5.199800,10.453880,5000,0,0
nob,0.354800,4.931200,11.768467,5000,0,0
pol,0.485200,5.030000,8.859500,5000,0,0
por,0.446800,4.958600,9.180486,5000,0,0
ron,0.303400,3.796600,4.840028,5000,0,0
rus,0.623600,5.908600,12.846646,5000,0,0
slk,0.601800,5.683400,9.651564,5000,0,0
slv,0.519200,5.181000,9.255039,5000,0,0
spa,0.332400,4.978600,9.867742,5000,0,0
srp,0.424800,5.362600,9.797121,5000,0,0
swe,0.217800,5.435800,13.196278,5000,0,0
tam,0.525400,4.632200,3.885723,5000,0,0
tur,0.143600,5.369800,8.098648,5000,0,0
ukr,0.557800,5.577000,9.985671,5000,0,0
