ISO_Code,TTR,Avg_Length,Length_Var,S_SOV,S_SVO,S_VSO,S_ADPOSITION_BEFORE_NOUN,S_ADPOSITION_AFTER_NOUN,S_CASE_SUFFIX,S_ADJECTIVE_BEFORE_NOUN
bul,0.4514,4.59,6.7891,0.0,1.0,0.0,1.0,0.0,0.0,1.0
ces,0.3356,5.6878,8.556731,0.0,1.0,0.0,1.0,0.0,1.0,1.0
cmn,0.5482,1.8474,0.682513,0.0,1.0,0.0,1.0,1.0,0.0,1.0
dan,0.4322,4.8104,9.653252,0.0,1.0,0.0,1.0,0.0,1.0,1.0
deu,0.3346,5.4058,9.111126,1.0,1.0,0.0,1.0,0.0,1.0,1.0
eng,0.0948,4.6164,6.170051,0.0,1.0,0.0,1.0,0.0,0.0,1.0
est,0.541,6.0964,10.020307,0.0,1.0,0.0,0.0,1.0,1.0,1.0
eus,0.5634,6.3386,8.04115,1.0,0.0,0.0,0.0,1.0,0.0,0.0
fas,0.3938,4.0418,3.951253,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fin,0.7182,7.1552,12.697913,0.0,1.0,0.0,0.0,1.0,1.0,1.0
fra,0.184,4.6228,7.11132,0.0,1.0,0.0,1.0,0.0,0.0,0.0
heb,0.5596,4.5172,3.234504,0.0,1.0,0.0,1.0,0.0,0.0,0.0
hin,0.3152,2.2584,1.166029,1.0,0.0,0.0,0.0,1.0,1.0,1.0
hun,0.5474,6.153,13.808791,1.0,1.0,0.0,0.0,1.0,1.0,1.0
ind,0.351,5.7788,6.855871,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ita,0.3932,5.1216,8.755213,0.0,1.0,0.0,1.0,0.0,0.0,0.0
kor,0.7708,3.0618,1.905581,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lav,0.5368,5.6858,7.779878,0.0,1.0,0.0,1.0,0.0,1.0,1.0
lit,0.5402,6.5128,9.925836,0.0,1.0,0.0,1.0,0.0,1.0,1.0
nld,0.3966,5.1998,10.45388,1.0,1.0,0.0,1.0,0.0,0.0,1.0
nob,0.3548,4.9312,11.768467,0.0,1.0,0.0,1.0,0.0,1.0,1.0
pol,0.4852,5.03,8.8595,0.0,1.0,0.0,1.0,0.0,1.0,1.0
por,0.4468,4.9586,9.180486,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ron,0.3034,3.7966,4.840028,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rus,0.6236,5.9086,12.846646,0.0,1.0,0.0,1.0,0.0,1.0,1.0
slv,0.5192,5.181,9.255039,0.0,1.0,0.0,1.0,0.0,1.0,1.0
spa,0.3324,4.9786,9.867742,0.0,1.0,0.0,1.0,0.0,0.0,0.0
swe,0.2178,5.4358,13.196278,0.0,1.0,0.0,1.0,0.0,0.0,1.0
tam,0.5254,4.6322,3.885723,1.0,0.0,0.0,0.0,1.0,1.0,1.0
tur,0.1436,5.3698,8.098648,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ukr,0.5578,5.577,9.985671,0.0,1.0,0.0,1.0,0.0,1.0,1.0
