ISO_Code,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,S_SOV,S_SVO,S_VSO,S_ADPOSITION_BEFORE_NOUN,S_ADPOSITION_AFTER_NOUN,S_CASE_SUFFIX,S_ADJECTIVE_BEFORE_NOUN
bul,3.1650320804556977,-4.214647063429383,1.0162382657313005,3.3930058609364213,-2.3843434254148863,3.55868150888748,3.4108299444175962,-1.8609581567284996,-4.515189673456292,0.046250397921078094,0.0,1.0,0.0,1.0,0.0,0.0,1.0
ces,0.07124557738753438,-7.828838420271571,-2.0554258493190796,-0.9867325565478889,-1.033046384494068,-8.919082037856514,-5.777323971676332,-10.692042729747012,23.25002515558838,3.799272225625755,0.0,1.0,0.0,1.0,0.0,1.0,1.0
cmn,1.8071304929835623,-4.055685025495758,-4.4233623865259935,-0.8448890070024226,-5.088905297021296,1.9349345782325948,-3.319776976413205,2.8868108046353096,-0.6410360259316537,0.15250797652510012,0.0,1.0,0.0,1.0,1.0,0.0,1.0
dan,3.4344373266569095,-1.802605889160346,-1.9265355861019142,-0.6194863428544194,-1.950705638677833,-0.5031889240172612,7.84655833789495,2.7799519541309095,-1.5923613397180625,0.661197732230773,0.0,1.0,0.0,1.0,0.0,1.0,1.0
deu,3.188015390169184,-2.6272928460829763,-0.8669666169118955,-2.328605969400002,-2.6491946528942214,-0.35261373186671324,3.7516239074747593,1.5189014959908922,-0.5199244864243293,2.371669643721704,1.0,1.0,0.0,1.0,0.0,1.0,1.0
eng,-30.79734559769493,15.2084583654384,1.593664868503809,-1.1782226756851786,0.030439200886117353,-8.254095666969391,1.8317369679319875,-1.6622935711665356,0.04874651035981201,-7.698894888598086,0.0,1.0,0.0,1.0,0.0,0.0,1.0
est,4.77140839717363,-2.8699852578557885,12.383681346728338,-26.197602000817064,15.987793427888125,7.795983371358449,-1.215842171084268,0.7982513276714681,2.674823193874003,-6.872060771553483,0.0,1.0,0.0,0.0,1.0,1.0,1.0
eus,24.98956075037838,35.68885336590033,6.312920405377648,4.159872728915859,0.5536692836207985,-3.057306443843765,-1.5838897484587906,-1.2019672323528965,2.375921121112192,0.21633941541216858,1.0,0.0,0.0,0.0,1.0,0.0,0.0
fas,-0.3930247822563983,-0.9308453931702353,-4.871879610783719,-0.1496304686793425,0.0209579982211266,4.016919111790697,1.4967394586967062,1.1177316851653183,-2.080390056770428,1.7041044892363446,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fin,0.28193095517794203,0.5699810121904548,-1.2837643884339602,-4.104021328448224,2.910784226197899,1.8196500321870417,-0.0871635690330826,1.6002646530715912,-3.360958973859974,0.335193749355984,0.0,1.0,0.0,0.0,1.0,1.0,1.0
fra,-3.7186837252060445,3.1182827723866486,-13.657496859879235,6.205038117119979,11.404047108275751,-0.3369223343145142,-2.6318118153493253,0.1693941675149489,2.955506736171918,-7.671373160553252,0.0,1.0,0.0,1.0,0.0,0.0,0.0
heb,3.5696216238201774,-1.206736166934179,-1.6899746241618976,-2.252676682266591,-3.793758791748362,1.6592025156681558,-1.4560224839339189,0.7358919534343445,1.2802978379723502,1.0844663845715041,0.0,1.0,0.0,1.0,0.0,0.0,0.0
hin,-0.13747711699829293,-0.8533226659832017,-9.068368304766883,3.803083195521202,-6.502435660892075,3.27838430279626,-2.5201240726357343,5.246739655473133,2.218388860532163,-18.409950674303897,1.0,0.0,0.0,0.0,1.0,1.0,1.0
hun,3.2318133329660363,-0.12476359497077584,0.4386581358444095,-1.605893773916655,-3.4545656648642717,-0.11096529757170405,2.3230832686777108,2.540041197979616,-0.2471234745990988,3.048779316267601,1.0,1.0,0.0,0.0,1.0,1.0,1.0
ind,1.102979099552931,0.15771626996027902,-3.4321547059662394,-0.09586597221803447,-7.344506627277651,4.300866726825793,1.647510959956257,4.927236896857053,-1.854813211429338,1.8946977168202053,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ita,-0.26551560935526647,0.4048065583758516,-0.16021474032686753,-1.8154656964485205,0.9357456876938164,-7.823778611403152,7.965641392060851,-2.9451190921941564,3.264052842963072,-1.1529076296099783,0.0,1.0,0.0,1.0,0.0,0.0,0.0
